Next,ProductId,Year,Month,Units,Avg,Count,Max,Min,Prev
96.0000,820,2017,9,50.0000,50.000000,1,50.0000,50.0000,0.0000
20.0000,820,2018,2,96.0000,32.000000,3,45.0000,20.0000,50.0000
16.0000,820,2018,7,20.0000,20.000000,1,20.0000,20.0000,96.0000
5.0000,820,2018,8,16.0000,8.000000,2,10.0000,6.0000,20.0000
0.0000,820,2018,9,5.0000,5.000000,1,5.0000,5.0000,16.0000
6.0000,822,2017,9,14.0000,14.000000,1,14.0000,14.0000,0.0000
0.0000,822,2018,5,6.0000,6.000000,1,6.0000,6.0000,14.0000
30.0000,823,2018,1,20.0000,20.000000,1,20.0000,20.0000,0.0000
3.0000,823,2018,2,30.0000,30.000000,1,30.0000,30.0000,20.0000
5.0000,823,2018,5,3.0000,3.000000,1,3.0000,3.0000,30.0000
5.0000,823,2018,7,5.0000,5.000000,1,5.0000,5.0000,3.0000
5.0000,823,2018,8,5.0000,5.000000,1,5.0000,5.0000,5.0000
0.0000,823,2018,9,5.0000,5.000000,1,5.0000,5.0000,5.0000
51.2700,824,2017,9,640.6450,17.795694,36,123.5000,0.1000,0.0000
48.3300,824,2017,10,51.2700,6.408750,8,25.3000,0.2000,640.6450
